Actor,twitter Followers
Ramsey Nouah,17400
Richard Mofe Damijo, 1045000
Hanks Anuku,1400
Osita Iheme,117400
O. C. Ukeje,66800
Uzee Usman,22800
Timini Egbuson,201500
Jide Kene Achufusi,9200
Jim Iyke,181000
Jimmie Akinsola,13500
Olumide Oworu,30900
Adewale Akinnuoye-Agbaje,58500
Bovi,146500
Tobi Bakre,2000
Emeka Enyiocha,220
Mr Macaroni,3800000
Olu Jacobs,90
Tope Tedela,9800
Mike Bamiloye,91200
Tobi Makinde,2300
Pete Edochie,3100
Saint Obi,4100
Lateef Adedimeji,282000
Broda Shaggi,199600
Dele Odule,11200
Femi Branch,90
Efa Iwara,30400
Femi Adebayo,152800
Francis Odega,80
Odunlade Adekola,88900
Muyiwa Ademola,Not found
Chet Anekwe,3400
Okey Bakassi,38600
Saheed Balogun,46200
Joseph Benjamin,67100
Yul Edochie,705700
Segun Arinze,15900
Alex Ekubo,146700
Deyemi Okanlawon,62000
Ken Erics,Not found
Mike Ezuruonye,84200
Chinedu Ikedieze,72400
Hakeem Kae-Kazim,13200
Daniel Etim Effiong,19900
Rotimi Salami,2600
Tosin Igho,640
Jide Kosoko,870
Ayo Makun,2300000
Zack Orji,860
Ali Nuhu,501500
Dele Odule,11200
Dede One Day,470
Clem Ohameze,93800
John Okafor,3500
Dayo Okeniyi,52500
Babatunde Omidina,220
Emeka Ossai,2000
Nkem Owoh,42300
David Oyelowo,740
Afeez Oyetoro,1700
Kola Oyewo,590
Adebayo Salami,1800
Sunday Omobolanle,190
Yemi Shodimu,990
Ime Bishop Umoh,480
Nonso Diobi,23000
Charles Inojie,740
Desmond Elliot,16100
Kanayo O. Kanayo,93800
Segun Arinze,15900
Emeka Ike,1000
Sam Dede,40
Kenneth Okonkwo,100000
Uzee Usman,22800
Chidi Mokeme,219900
Zubby Michael,8300
Ifeanyi Emmanuel Igboke,Not found
Falz,3100000
Kunle Remi,29800
Chris Okagbue,39200
Francis Duru,40
Pat Attah,360
Bob-Manuel Udokwu,420
Alex Asogwa,238900
Liz Da-Silva,280
Genevieve Nnaji,2700000
Omotola Jalade Ekeinde,1500000
Sola Sobowale,34300
Funke Akindele,1500000
Joke Silva,46800
Rita Dominic,1400000
Mercy Johnson,560100
Kate Henshaw,1300000
Funlola Aofiyebi-Raimi,3800
Ini Edo,474500
Nse Ikpe Etim,336400
Osas Ighodaro,164200
Nancy Isime,8500
Yvonne Jegede,14600
Caroline Danjuma,110
Lilian Esoro,20700
Adesua Etomi,596200
Oghenekaro Itene,6100
Bimbo Ademoye,64000
Efe Irele,22600
Mary Lazarus,4100
Uzo Aduba,450900
Tonto Dikeh,Not found
Liz Benson,20
Kehinde Bankole,88100
Fathia Balogun,35900
Genoveva Umeh,66300
Tomi Odunsi,450
Stephanie Okereke,471300
Linus,599600
Nafisa Abdullahi,276200
Adunni Ade,80000
Ayo Adesanya,18600
Taiwo Ajai Lycett,320
Nikki Amuka-Bird,20
Rosaline Meurer,1000
Regina Askia,3600
Dorcas Shola-Fapson,31200
Monalisa Chinda,406500
Chioma Chukwuka,321700
Abiodun Duro-Ladipo,330
Megalyn Echikunwoke,28700
Adesua Etomi-Wellington,596200
Carmen Ejogo,18600
Tamara Eteimo,4500
Hadiza Gabon,509700
Regina Daniels,1500
Rahama Sadau,1000000
Muma Gee,3200
Shan George,11000
Biola Adebayo,170
Adebimpe Oyebade,86300
Uyoyou Adia,2700
Kate Henshaw,1300000
Chika Ike,274400
Carol King,137400
Bisi Komolafe,50
Annie Macaulay-Idibia,215300
Lola Margaret,Not found
Iyabo Ojo,132200
Sharon Ooja,20500
Sophie Okonedo,410
Chioma Okoye,Not found
Oge Okoye,33200
Moji Olaiya,20
Kiki Omeili,8800
Racheal Oniga,150
Bimbo Oshin,250
Patience Ozokwor,118500
Helen Paul,490
Lisa Omorodion,232600
Idowu Philips,28600
Toni Tones,25800
Mary Uranta,60
Bukky Wright,18600
Folake Olowofoyeku,7600
Sharon Ooja,20500
Ngozi Ezeonu,8700
Beverly Naya,162800
Beverly Osu,83000
Abimbola Craig,13400
Ruth Kadiri,44300
Weruche Opia,10200
Yvonne Orji,222200
Toyin Abraham,296800
Mercy Aigbe,130600
Simi Drey,7300
Fisayomi,4900
Abebi Obot Etuk,140
Lilian Bach,40
Camilla Mberekpe,Not found
Chiege Alisigwe,260
Eucharia-Anunobi Ekwu,1600
Empress Njamah,4400
Nkiru Sylvanus,3000
Hilda Dokubo,Not found
Steph-Nora Okere,30
Rita Nzelu,690
Jennifer Eliogu,850
Clarion Chukwura,2500
Alex Lopez,30900
Uche Jumbo,1200000
Florence Onuma,10
Sandra Achums,71600
Susan Patrick,1300
