Ramsey Nouah
Richard Mofe Damijo
Hanks Anuku
Osita Iheme
O. C. Ukeje
Uzee Usman
Timini Egbuson
Jide Kene Achufusi
Jim Iyke
Jimmie Akinsola
Olumide Oworu
Adewale Akinnuoye-Agbaje
Bovi
Tobi Bakre
Emeka Enyiocha
Mr Macaroni
Olu Jacobs
Tope Tedela
Mike Bamiloye
Tobi Makinde
Pete Edochie
Saint Obi
Lateef Adedimeji
Broda Shaggi
Dele Odule
Femi Branch
Efa Iwara
Femi Adebayo
Francis Odega
Odunlade Adekola
Muyiwa Ademola
Chet Anekwe
Okey Bakassi
Saheed Balogun
Joseph Benjamin
Yul Edochie
Segun Arinze
Alex Ekubo
Deyemi Okanlawon
Ken Erics
Mike Ezuruonye
Chinedu Ikedieze
Hakeem Kae-Kazim
Daniel Etim Effiong
Rotimi Salami
Tosin Igho
Jide Kosoko
Ayo Makun
Zack Orji
Ali Nuhu
Dele Odule
Dede One Day
Clem Ohameze
John Okafor
Dayo Okeniyi
Babatunde Omidina
Emeka Ossai
Nkem Owoh
David Oyelowo
Afeez Oyetoro
Kola Oyewo
Adebayo Salami
Sunday Omobolanle
Yemi Shodimu
Ime Bishop Umoh
Nonso Diobi
Charles Inojie
Desmond Elliot
Kanayo O. Kanayo
Segun Arinze
Emeka Ike
Sam Dede
Kenneth Okonkwo
Uzee Usman
Chidi Mokeme
Zubby Michael
Ifeanyi Emmanuel Igboke
Falz
Kunle Remi
Chris Okagbue
Francis Duru
Pat Attah
Bob-Manuel Udokwu
Alex Asogwa
Liz Da-Silva
Genevieve Nnaji
Omotola Jalade Ekeinde
Sola Sobowale
Funke Akindele
Joke Silva
Rita Dominic
Mercy Johnson
Kate Henshaw
Funlola Aofiyebi-Raimi
Ini Edo
Nse Ikpe Etim
Osas Ighodaro
Nancy Isime
Yvonne Jegede
Caroline Danjuma
Lilian Esoro
Adesua Etomi
Oghenekaro Itene
Bimbo Ademoye
Efe Irele
Mary Lazarus
Uzo Aduba
Tonto Dikeh
Liz Benson
Kehinde Bankole
Fathia Balogun
Genoveva Umeh
Tomi Odunsi
Stephanie Okereke Linus
Nafisa Abdullahi
Adunni Ade
Ayo Adesanya
Taiwo Ajai Lycett
Nikki Amuka-Bird
Rosaline Meurer
Regina Askia
Dorcas Shola-Fapson
Monalisa Chinda
Chioma Chukwuka
Abiodun Duro-Ladipo
Megalyn Echikunwoke
Adesua Etomi-Wellington
Carmen Ejogo
Tamara Eteimo
Hadiza Gabon
Regina Daniels
Rahama Sadau
Muma Gee
Shan George
Biola Adebayo
Adebimpe Oyebade
Uyoyou Adia
Kate Henshaw
Chika Ike
Carol King
Bisi Komolafe
Annie Macaulay-Idibia
Lola Margaret
Iyabo Ojo
Sharon Ooja
Sophie Okonedo
Chioma Okoye
Oge Okoye
Moji Olaiya
Kiki Omeili
Racheal Oniga
Bimbo Oshin
Patience Ozokwor
Helen Paul
Lisa Omorodion
Idowu Philips
Toni Tones
Mary Uranta
Bukky Wright
Folake Olowofoyeku
Sharon Ooja
Ngozi Ezeonu
Beverly Naya
Beverly Osu
Abimbola Craig
Ruth Kadiri
Weruche Opia
Yvonne Orji
Toyin Abraham
Mercy Aigbe
Simi Drey
Fisayomi Abebi
Obot Etuk
Lilian Bach
Camilla Mberekpe
Chiege Alisigwe
Eucharia-Anunobi Ekwu
Empress Njamah
Nkiru Sylvanus
Hilda Dokubo
Steph-Nora Okere
Rita Nzelu
Jennifer Eliogu
Clarion Chukwura
Alex Lopez
Uche Jumbo
Florence Onuma
Sandra Achums
Susan Patrick
