Actors/Actresses,Gender,BON AWARD,BON AWARD NOMINATION,AMVCA AWARDS,AMVCA NOMINATIONS,AMAA,AMAA NOMINATION,NEA AWARD,NEA NOMINATION,Facebook Followers,Instagram Followers,Twitter followers
Ramsey Nouah,Male,1,3,1,1,2,1,,,2200000,1300000,17400
Richard Mofe Damijo,Male,1,,,3,,,,1,1100000,3300000,1045000
Hanks Anuku,Male,,,,,,,,,55800,83700,1400
Osita Iheme,Male,,,,,,,,,130600,1500000,117400
O. C. Ukeje,Male,1,1,1,,1,1,1,,15000,196800,66800
Uzee Usman,Male,,,1,1,1,,,,11400,432300,22800
Timini Egbuson,Male,1,1,1,2,,,,,254700,2000000,201500
Jide Kene Achufusi,Male,3,3,1,1,,,,,8100,362200,9200
Jim Iyke,Male,,,,,,,,,31300,2600000,181000
Jimmie Akinsola,Male,,,,,,,1,,Not found,131200,13500
Olumide Oworu,Male,,,,,,,,,63400,523700,30900
Adewale Akinnuoye-Agbaje,Male,,,,,,,,,238100,99900,58500
Bovi,Male,,,,2,,,,,858000,4000000,146500
Tobi Bakre,Male,,2,1,,,,,,354000,2900000,2000
Emeka Enyiocha,Male,,,,,,,,,Not found,118200,220
Mr Macaroni,Male,,,,,,,,,4800000,4099999,3800000
Olu Jacobs,Male,,,,,,,,,Not found,142400,90
Tope Tedela,Male,1,3,1,2,,1,1,1,16600,70100,9800
Mike Bamiloye,Male,,,,,,,,,386500,988200,91200
Tobi Makinde,Male,,,,,,,,,11100,499300,2300
Pete Edochie,Male,,,,,,,,,32700,576900,3100
Saint Obi,Male,,,,,,,,,289000,21600,4100
Lateef Adedimeji,Male,2,3,,,,1,,,239300,4500000,282000
Broda Shaggi,Male,,,2,1,,,,,9900000,12600000,199600
Dele Odule,Male,,2,,,,,,,4700,225100,11200
Femi Branch,Male,,,,,,,,,Not found,Not found,90
Efa Iwara,Male,,1,,2,,,,,5000,277600,30400
Femi Adebayo,Male,3,3,1,3,,1,,,2500000,3600000,152800
Francis Odega,Male,,,,,,,,,212100,57700,80
Odunlade Adekola,Male,,2,2,,,,,,3100000,6800000,88900
Muyiwa Ademola,Male,,,,,,,,,216700,2100000,Not found
Chet Anekwe,Male,,1,,,1,,,,4000,2900,3400
Okey Bakassi,Male,,,,,,,,,251200,Not found,38600
Saheed Balogun,Male,,,,,,,,,71200,785500,46200
Joseph Benjamin,Male,,,,,,,,,Not found,198000,67100
Yul Edochie,Male,,,,,,,,,3300000,2600000,705700
Segun Arinze,Male,,1,,,,,,,Not found,7700,15900
Alex Ekubo,Male,3,2,,,,,,,3200000,4700000,146700
Deyemi Okanlawon,Male,1,1,1,1,,,,,317700,1100000,62000
Ken Erics,Male,,,,,,,,,8500000,2600000,Not found
Mike Ezuruonye ,Male,,,,1,1,,,,341000,4000000,84200
Chinedu Ikedieze,Male,,,,1,,,,,509500,2100000,72400
Hakeem Kae-Kazim,Male,,,,2,,,,,15600,20500,13200
Daniel Etim Effiong,Male,,,,,,,,,3400,740600,19900
Rotimi Salami,Male,,,,,,,,,246300,1400000,2600
Tosin Igho,Male,,,,,,,,,Not found,14100,640
Jide Kosoko,Male,,,,,,,,,54700,374800,870
Ayo Makun,Male,,,,,,,,,8500000,13300000,2300000
Zack Orji,Male,,,,,,,,,150300,87600,860
Ali Nuhu,Male,,,,,,,,,3600000,3000000,501500
Dele Odule,Male,,,,,,,,,4700,225100,11200
Dede One Day,Male,,,,,,,,,80,29000,470
Clem Ohameze,Male,,,,,,,,,1500,3800,93800
John Okafor,Male,,,,,,,,,24400,777100,3500
Dayo Okeniyi,Male,,,,,,,,,5700,49300,52500
Babatunde Omidina,Male,,,,,,,,,220,2400,220
Emeka Ossai,Male,,,,,,,,,5200,4100,2000
Nkem Owoh,Male,,,,,,,,,451700,289800,42300
David Oyelowo,Male,,,,,,,,,142800,279800,740
Afeez Oyetoro,Male,,,,,,,,,13800,146400,1700
Kola Oyewo,Male,,,,,,,,,Not found,890,590
Adebayo Salami,Male,,,,,,,,,20200,781200,1800
Sunday Omobolanle,Male,,,,,,,,,1200,14500,190
Yemi Shodimu,Male,,,,,,,,,19000,4100,990
Ime Bishop Umoh,Male,,,,,,,,,12700,1000000,480
Nonso Diobi,Male,,,,,,,,,13700,742100,23000
Charles Inojie,Male,,,,,,,,,600000,1600000,740
Desmond Elliot,Male,,,,,,,,,2600000,1500000,16100
Kanayo O. Kanayo,Male,,,,,,,,,1400000,1900000,93800
Segun Arinze,Male,,,,,,,,,Not found,7700,15900
Emeka Ike,Male,,,,,,,,,1000000,266800,1000
Sam Dede,Male,,,,,,,,,280,222800,40
Kenneth Okonkwo,Male,,,,,,,,,6200,394900,100000
Uzee Usman,Male,,,,,,,,,11400,432300,22800
Chidi Mokeme,Male,,,,,,,,,8000,818400,219900
Zubby Michael,Male,,,,,,,,,13000,6500000,8300
Ifeanyi Emmanuel Igboke,Male,,,,,,,,,Not found,103700,Not found
Falz,Male,,,,,,,,,2200000,9500000,3100000
Kunle Remi,Male,,,,,,,,,284700,1400000,29800
Chris Okagbue,Male,,,,,,,,,179600,415600,39200
Francis Duru,Male,,,,,,,,,8000,132200,40
Pat Attah,Male,,,,,,,,,10300,136400,360
Bob-Manuel Udokwu,Male,,,,,,,,,Not found,115000,420
Alex Asogwa,FEMALE,,,,,,,,,2900,290,238900
Liz Da-Silva,FEMALE,,,,,,,,,10400,1800000,280
Genevieve Nnaji,FEMALE,,,,,,,,,5800000,8500000,2700000
Omotola Jalade Ekeinde,FEMALE,,,,,,,,,6200000,5700000,1500000
Sola Sobowale,FEMALE,,,,,,,,,Not found,1800000,34300
Funke Akindele,FEMALE,,,,,,,,,2400000,16800000,1500000
