Actors/Actresses,Gender,Facebook Followers,Instagram Followers,Twitter followers,Total Followers,Net_Worth,BON AWARD,BON AWARD NOMINATION,AMVCA AWARDS,AMVCA NOMINATIONS,AMAA,AMAA NOMINATION,NEA AWARD,NEA NOMINATION,TOTAL AWARDS WON,TOTAL NOMINATION,Influence Score
Funke Akindele,FEMALE,2400000,16800000,1500000,20700000,7600000.0,,2.0,5.0,11.0,1.0,,1.0,1.0,27.0,19.0,0.8185560091422899
Genevieve Nnaji,FEMALE,5800000,8500000,2700000,17000000,10000000.0,1.0,2.0,1.0,2.0,,,2.0,6.0,11.0,15.0,0.5645900716130716
Mercy Johnson,FEMALE,14300000,14600000,560100,29460100,2000000.0,1.0,2.0,1.0,3.0,1.0,,,3.0,6.0,17.0,0.5156327543424318
Ini Edo,FEMALE,8000000,14000000,474500,22474500,4000000.0,1.0,,,2.0,,2.0,,,8.0,13.0,0.48062049853044364
Ali Nuhu,Male,3600000,3000000,501500,7101500,1000000.0,4.0,,,,1.0,,,,27.0,4.0,0.4789442875938333
Regina Daniels,FEMALE,11800000,14700000,1500,26501500,5000000.0,,1.0,,,,,,,,2.0,0.4542554624251224
Rita Dominic,FEMALE,1900000,7700000,1400000,11000000,3000000.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,15.0,15.0,0.3938656822725511
Ayo Makun,Male,8500000,13300000,2300000,24100000,500000.0,,,,,,,,,,,0.3270533450704873
Broda Shaggi,Male,9900000,12600000,199600,22699600,200000.0,,,2.0,1.0,,,,,2.0,2.0,0.3151189400922063
Omotola Jalade Ekeinde,FEMALE,6200000,5700000,1500000,13400000,7200000.0,,,,,,,,,,2.0,0.2996120136911414
Uche Jumbo,FEMALE,4600000,4600000,1200000,10400000,2000000.0,,4.0,,1.0,,3.0,,,10.0,13.0,0.2876679331648017
Chika Ike,FEMALE,4500000,4600000,274400,9374400,1000000.0,,,,,,2.0,,,11.0,7.0,0.2673134508305676
Tonto Dikeh,FEMALE,6800000,7800000,1600000,16200000,2000000.0,,,,,,,,,,,0.23730241937015017
Richard Mofe Damijo,Male,1100000,3300000,1045000,5445000,8000000.0,1.0,,,3.0,,,,1.0,3.0,7.0,0.2256820221968702
Mercy Aigbe,FEMALE,1500000,11800000,130600,13430600,1000000.0,,2.0,,,,,,,2.0,3.0,0.19046141155072344
Annie Macaulay-Idibia,FEMALE,594700,8100000,215300,8910000,5000000.0,,1.0,,,,,,,1.0,1.0,0.18705870071347735
Falz,Male,2200000,9500000,3100000,14800000,300000.0,,,1.0,,,,,,1.0,1.0,0.181763668143549
Mr Macaroni,Male,4800000,4099999,3800000,12699999,200000.0,,2.0,,1.0,,,,,3.0,3.0,0.17861991817423079
Nancy Isime,FEMALE,2100000,5800000,8500,7908500,1500000.0,1.0,2.0,,2.0,,,,,6.0,6.0,0.17820550828271386
Odunlade Adekola,Male,3100000,6800000,88900,9988900,2100000.0,,2.0,2.0,,,,,,3.0,2.0,0.17574756903224223
Alex Ekubo,Male,3200000,4700000,146700,8046700,1000000.0,3.0,2.0,,,,,,,6.0,2.0,0.1702239787436587
Ruth Kadiri,FEMALE,5700000,6300000,44300,12044300,1000000.0,,1.0,,,,,1.0,,2.0,7.0,0.16940494275836046
Toyin Abraham,FEMALE,205100,9200000,296800,9701900,1600000.0,,2.0,1.0,2.0,,,,,2.0,4.0,0.14592307416230266
Nafisa Abdullahi,FEMALE,2100000,2300000,276200,4676200,1500000.0,,,,,2.0,,,,7.0,2.0,0.144494816679264
Adesua Etomi-Wellington,FEMALE,191200,5900000,596200,6687400,1400000.0,,1.0,1.0,1.0,,1.0,,1.0,5.0,14.0,0.14225751287950672
Helen Paul,FEMALE,57000,4099999,490,4157489,1500000.0,,,,,,,,,6.0,,0.12123151559620282
Lateef Adedimeji,Male,239300,4500000,282000,5021300,800000.0,2.0,3.0,,,,1.0,,,6.0,7.0,0.12023901153652194
Yul Edochie,Male,3300000,2600000,705700,6605700,1800000.0,,,,,,,,,3.0,4.0,0.11831185940908671
Desmond Elliot,Male,2600000,1500000,16100,4116100,5000000.0,,,,,,,,,,,0.1142442985323413
Hadiza Gabon,FEMALE,1600000,2800000,509700,4909700,450000.0,1.0,,,,,,,,6.0,2.0,0.11148747089726964
Iyabo Ojo,FEMALE,2400000,6600000,132200,9132200,600000.0,1.0,5.0,,,,,,,1.0,5.0,0.1017240123770505
Chioma Chukwuka,FEMALE,45700,7200000,321700,7567400,1000000.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,17.0,0.10140544399436287
Rahama Sadau,FEMALE,1300000,3300000,1000000,5600000,500000.0,,2.0,,,,,,,4.0,2.0,0.09221125047650446
