Actor,Facebook Followers
Ramsey Nouah,2200000
Richard Mofe Damijo,1100000
Hanks Anuku,55800
Osita Iheme,130600
O. C. Ukeje,15000
Uzee Usman,11400
Timini Egbuson,254700
Jide Kene Achufusi,8100
Jim Iyke,31300
Jimmie Akinsola,Not found
Olumide Oworu,63400
Adewale Akinnuoye-Agbaje,238100
Bovi,858000
Tobi Bakre,354000
Emeka Enyiocha,Not found
Mr Macaroni,4800000
Olu Jacobs,Not found
Tope Tedela,16600
Mike Bamiloye,386500
Tobi Makinde,11100
Pete Edochie,32700
Saint Obi,289000
Lateef Adedimeji,239300
Broda Shaggi,9900000
Dele Odule,4700
Femi Branch,Not found
Efa Iwara,5000
Femi Adebayo,2500000
Francis Odega,212100
Odunlade Adekola,3100000
Muyiwa Ademola,216700
Chet Anekwe,4000
Okey Bakassi,251200
Saheed Balogun,71200
Joseph Benjamin,Not found
Yul Edochie,3300000
Segun Arinze,Not found
Alex Ekubo,3200000
Deyemi Okanlawon,317700
Ken Erics,8500000
Mike Ezuruonye,341000
Chinedu Ikedieze,509500
Hakeem Kae-Kazim,15600
Daniel Etim Effiong,3400
Rotimi Salami,246300
Tosin Igho,Not found
Jide Kosoko,54700
Ayo Makun,8500000
Zack Orji,150300
Ali Nuhu,3600000
Dele Odule,4700
Dede One Day,80
Clem Ohameze,1500
John Okafor,24400
Dayo Okeniyi,5700
Babatunde Omidina,220
Emeka Ossai,5200
Nkem Owoh,451700
David Oyelowo,142800
Afeez Oyetoro,13800
Kola Oyewo,Not found
Adebayo Salami,20200
Sunday Omobolanle,1200
Yemi Shodimu,19000
Ime Bishop Umoh,12700
Nonso Diobi,13700
Charles Inojie,600000
Desmond Elliot,2600000
Kanayo O. Kanayo,1400000
Segun Arinze,Not found
Emeka Ike,1000000
Sam Dede,280
Kenneth Okonkwo,6200
Uzee Usman,11400
Chidi Mokeme,8000
Zubby Michael,13000
Ifeanyi Emmanuel Igboke,Not found
Falz,2200000
Kunle Remi,284700
Chris Okagbue,179600
Francis Duru,8000
Pat Attah,10300
Bob-Manuel Udokwu,Not found
Alex Asogwa,2900
Liz Da-Silva,10400
Genevieve Nnaji,5800000
Omotola Jalade Ekeinde,Not found
Sola Sobowale,Not found
Funke Akindele,2400000
Joke Silva,207400
Rita Dominic,1900000
Mercy Johnson,14300000
Kate Henshaw,1100000
Funlola Aofiyebi-Raimi,157500
Ini Edo,8000000
Nse Ikpe Etim,13100
Osas Ighodaro,739400
Nancy Isime,2100000
Yvonne Jegede,1500000
Caroline Danjuma,Not found
Lilian Esoro,Not found
Adesua Etomi,191200
Oghenekaro Itene,27800
Bimbo Ademoye,645000
Efe Irele,1500000
Mary Lazarus,3000
Uzo Aduba,982800
Tonto Dikeh,6800000
Liz Benson,540
Kehinde Bankole,1100000
Fathia Balogun,689300
Genoveva Umeh,47500
Tomi Odunsi,2700
Stephanie Okereke,6900000
Linus,10
Nafisa Abdullahi,2100000
Adunni Ade,1100000
Ayo Adesanya,Not found
Taiwo Ajai Lycett,1900
Nikki Amuka-Bird,Not found
Rosaline Meurer,900
Regina Askia,135300
Dorcas Shola-Fapson,11500
Monalisa Chinda,1900000
Chioma Chukwuka,45700
Abiodun Duro-Ladipo,10
Megalyn Echikunwoke,23300
Adesua Etomi-Wellington,191200
Carmen Ejogo,18500
Tamara Eteimo,45700
Hadiza Gabon,1600000
Regina Daniels,11800000
Rahama Sadau,1300000
Muma Gee,640
Shan George,163200
Biola Adebayo,1400
Adebimpe Oyebade,380600
Uyoyou Adia,280
Kate Henshaw,1100000
Chika Ike,4500000
Carol King,1700000
Bisi Komolafe,1800
Annie Macaulay-Idibia,594700
Lola Margaret,656700
Iyabo Ojo,2400000
Sharon Ooja,10200
Sophie Okonedo,350
Chioma Okoye,5900
Oge Okoye,2900000
Moji Olaiya,100
Kiki Omeili,91500
Racheal Oniga,15300
Bimbo Oshin,581700
Patience Ozokwor,46200
Helen Paul,57000
Lisa Omorodion,6800
Idowu Philips,4000
Toni Tones,270
Mary Uranta,Not found
Bukky Wright,1100000
Folake Olowofoyeku,33800
Sharon Ooja,10200
Ngozi Ezeonu,72200
Beverly Naya,228800
Beverly Osu,13500
Abimbola Craig,9300
Ruth Kadiri,5700000
Weruche Opia,10200
Yvonne Orji,319500
Toyin Abraham,205100
Mercy Aigbe,1500000
Simi Drey,7100
Fisayomi,1300
Abebi Obot Etuk,Not found
Lilian Bach,5100
Camilla Mberekpe,Not found
Chiege Alisigwe,42200
Eucharia-Anunobi Ekwu,16000
Empress Njamah,219300
Nkiru Sylvanus,11100
Hilda Dokubo,1700000
Steph-Nora Okere,58800
Rita Nzelu,108900
Jennifer Eliogu,12000
Clarion Chukwura,15100
Alex Lopez,150
Uche Jumbo,4600000
Florence Onuma,700
Sandra Achums,170
Susan Patrick,680
